user_id,account_age_days,country,is_compromised
user_11,1239,AU,0
user_22,770,AU,0
user_26,806,AU,0
user_27,386,AU,0
user_34,22,AU,0
user_43,1500,AU,0
user_52,1900,AU,0
user_64,1298,AU,0
user_70,777,AU,0
user_75,92,AU,0
user_77,956,AU,0
user_84,206,AU,0
user_85,1105,AU,0
user_90,1026,AU,0
user_108,816,AU,0
user_113,1276,AU,0
user_116,296,AU,0
user_117,1749,AU,0
user_122,1077,AU,0
user_126,764,AU,0
user_148,419,AU,0
user_182,1242,AU,0
user_183,503,AU,0
user_194,1485,AU,0
user_197,864,AU,0
user_201,1021,AU,0
user_203,1924,AU,0
user_204,1758,AU,0
user_222,557,AU,0
user_227,796,AU,0
user_228,1052,AU,0
user_230,1580,AU,0
user_233,1982,AU,0
user_235,1664,AU,0
user_238,1497,AU,0
user_240,190,AU,0
user_245,1982,AU,0
user_261,684,AU,0
user_262,664,AU,0
user_263,1999,AU,0
user_268,1496,AU,0
user_281,1137,AU,0
user_291,1590,AU,0
user_298,1154,AU,0
user_300,1708,AU,0
user_309,1208,AU,0
user_310,123,AU,0
user_315,1861,AU,0
user_319,982,AU,0
user_320,1931,AU,0
user_324,609,AU,0
user_329,464,AU,0
user_343,1735,AU,0
user_350,338,AU,0
user_361,263,AU,0
user_366,1017,AU,0
user_383,208,AU,0
user_386,152,AU,0
user_390,1944,AU,0
user_391,628,AU,0
user_416,1705,AU,0
user_425,1920,AU,0
user_427,1159,AU,0
user_434,955,AU,0
user_437,1399,AU,0
user_438,1046,AU,0
user_442,230,AU,0
user_454,879,AU,0
user_455,960,AU,0
user_465,1073,AU,0
user_469,1244,AU,0
user_470,158,AU,0
user_474,518,AU,0
user_484,607,AU,0
user_494,1280,AU,0
user_500,566,AU,0
user_502,1347,AU,0
user_508,1967,AU,0
user_509,854,AU,0
user_511,962,AU,0
user_515,1410,AU,0
user_517,1128,AU,0
user_528,1891,AU,0
user_531,408,AU,0
user_537,36,AU,0
user_539,20,AU,0
user_547,471,AU,0
user_570,1807,AU,0
user_591,823,AU,0
user_597,636,AU,0
user_602,120,AU,0
user_607,1975,AU,0
user_614,1151,AU,0
user_615,1417,AU,0
user_616,1932,AU,0
user_621,513,AU,0
