user_id,account_age_days,country,is_compromised
user_0,1127,AU,0
user_1,1460,CA,0
user_2,861,CA,0
user_3,1295,CA,0
user_4,1131,AU,0
user_5,1096,CA,0
user_6,1725,CA,0
user_7,1045,AU,0
user_8,1639,AU,1
user_9,122,UK,0
user_10,467,CA,0
user_11,1239,US,0
user_12,331,CA,0
user_13,1483,IN,0
user_14,88,IN,0
user_15,1397,CA,0
user_16,1124,CA,0
user_17,872,IN,0
user_18,1688,UK,0
user_19,131,CA,0
user_20,1686,UK,0
user_21,1333,US,0
user_22,770,UK,0
user_23,344,IN,0
user_24,1516,US,0
user_25,1438,CA,0
user_26,806,AU,0
user_27,386,AU,0
user_28,1216,CA,0
user_29,956,CA,0
user_30,277,CA,0
user_31,1185,IN,0
user_32,460,AU,0
user_33,1338,UK,0
user_34,22,UK,0
user_35,253,US,0
user_36,748,AU,0
user_37,857,CA,0
user_38,1585,IN,0
user_39,475,CA,0
user_40,1083,AU,0
user_41,511,CA,0
user_42,1706,UK,1
user_43,1500,CA,0
user_44,700,IN,0
user_45,976,US,0
user_46,1807,US,0
user_47,190,AU,0
user_48,958,IN,0
user_49,687,UK,0
user_50,958,US,0
user_51,563,UK,0
user_52,1900,UK,0
user_53,1591,UK,1
user_54,1268,AU,0
user_55,832,CA,0
user_56,1529,CA,0
user_57,1155,AU,0
user_58,1509,IN,0
user_59,1843,IN,0
user_60,647,AU,0
user_61,21,US,0
user_62,841,US,0
user_63,167,DE,0
user_64,1298,IN,0
user_65,388,IN,0
user_66,601,UK,0
user_67,316,UK,0
user_68,14,DE,0
user_69,242,DE,0
user_70,777,AU,0
user_71,1370,DE,0
user_72,565,DE,0
user_73,898,US,0
user_74,1364,AU,0
user_75,92,UK,0
user_76,1391,AU,0
user_77,956,AU,0
user_78,1479,DE,0
user_79,1452,CA,0
user_80,509,IN,0
user_81,776,IN,0
user_82,1967,IN,0
user_83,35,DE,0
user_84,206,AU,0
user_85,1105,AU,0
user_86,1956,US,1
user_87,1586,US,0
user_88,1896,DE,0
user_89,1412,DE,0
user_90,1026,CA,0
user_91,1022,CA,0
user_92,1414,AU,0
user_93,566,DE,0
user_94,1130,DE,0
user_95,1796,DE,0
user_96,1846,AU,0
user_97,1501,IN,0
user_98,703,UK,0
user_99,402,CA,0
user_100,730,US,0
user_101,1580,UK,0
user_102,162,AU,0
user_103,202,IN,0
user_104,1982,DE,0
user_105,996,DE,0
user_106,270,AU,0
user_107,1887,CA,0
user_108,816,UK,0
user_109,1295,IN,0
user_110,456,DE,1
user_111,1486,UK,0
user_112,1751,UK,0
user_113,1276,CA,0
user_114,1017,US,0
user_115,1726,IN,0
user_116,296,IN,0
user_117,1749,UK,0
user_118,720,CA,0
user_119,1773,CA,0
user_120,338,IN,0
user_121,879,DE,0
user_122,1077,IN,0
user_123,792,CA,0
user_124,1946,UK,0
user_125,217,DE,0
user_126,764,US,0
user_127,188,US,0
user_128,380,US,0
user_129,493,CA,0
user_130,1065,UK,0
user_131,1181,UK,0
user_132,15,CA,0
user_133,1837,AU,0
user_134,65,UK,0
user_135,1881,UK,0
user_136,1863,UK,0
user_137,521,CA,0
user_138,1368,CA,0
user_139,1153,IN,0
user_140,648,US,0
user_141,1496,AU,0
user_142,1087,UK,0
user_143,1163,UK,0
user_144,1523,UK,0
user_145,593,CA,0
user_146,392,DE,0
user_147,1699,US,0
user_148,419,US,0
user_149,289,AU,0
user_150,379,UK,0
user_151,1797,US,0
user_152,1514,DE,0
user_153,231,US,0
user_154,1018,AU,0
user_155,41,US,0
user_156,1052,UK,0
user_157,135,CA,0
user_158,201,AU,0
user_159,1864,US,0
user_160,780,AU,0
user_161,930,US,0
user_162,1057,UK,0
user_163,1072,UK,0
user_164,503,AU,0
